"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1",911594137,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","e27f8631-a36f-47ca-9bcf-1f9ba7085a11","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus (Bombus) occidentalis","","US","Mad River Beach","California","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",40.92511,-124.1157,NA,NA,NA,NA,NA,NA,"1976-06-27",27,6,1976,1340429,1340429,"PRESERVED_SPECIMEN","KU","SEMC","474933","","Miller, J",1991-01-01,"CC_BY_4_0","","Brooks, Robert","",NA,2024-04-01 19:12:05.136,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"2",911594087,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","b4c86e59-b78a-4819-9153-22704cf69ae8","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus (Bombus) occidentalis","","US","Republic","Washington","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",48.64833,-118.7367,NA,NA,NA,NA,NA,NA,"1931-08-06",6,8,1931,1340429,1340429,"PRESERVED_SPECIMEN","KU","SEMC","475022","","",NA,"CC_BY_4_0","","Nottingham, J","",NA,2024-04-01 19:12:03.447,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"3",911594037,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","cf6ca2d8-1225-423c-85ab-cb15cdf42de8","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus (Bombus) occidentalis","","US","Strawberry","California","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",38.79694,-120.1442,NA,NA,NA,NA,NA,NA,"1929-08-08",8,8,1929,1340429,1340429,"PRESERVED_SPECIMEN","KU","SEMC","475005","","",NA,"CC_BY_4_0","","Anderson, Lauren","",NA,2024-04-01 19:12:04.705,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"4",911593952,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","cffa5ce1-05ce-4acc-be46-7384b473aeb3","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus (Bombus) occidentalis","","US","Haines","Oregon","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",44.91167,-117.9378,NA,NA,NA,NA,NA,NA,"1931-07-10",10,7,1931,1340429,1340429,"PRESERVED_SPECIMEN","KU","SEMC","1256439","","Frison, Theodore",1932-01-01,"CC_BY_4_0","","Sanderson, Milton","",NA,2024-04-01 19:12:04.629,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"5",911593906,"aae308f4-9f9c-4cdd-b4ef-c026f48be551","5c5a123f-115c-445f-84a1-71b7e729264f","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus (Bombus) occidentalis","","US","Baker Mt","Washington","PRESENT",NA,"b554c320-0560-11d8-b851-b8a03c50a862",45.75472,-122.6603,NA,NA,NA,NA,NA,NA,"1931-07-29",29,7,1931,1340429,1340429,"PRESERVED_SPECIMEN","KU","SEMC","1256437","","Frison, Theodore",1932-01-01,"CC_BY_4_0","","Beamer, Raymond","",NA,2024-04-01 19:12:01.922,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84"
"6",88547407,"84750258-f762-11e1-a439-00145eb45e9a","","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene","US","Tahuya Canyon","Washington","PRESENT",NA,"09871350-0a23-11d8-b854-b8a03c50a862",47.4333,-122.9666,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1340429,1340429,"PRESERVED_SPECIMEN","CNC","Bumblebee","463990","","",NA,"CC_BY_4_0","","D.P.Frechin","",NA,2024-03-15 17:42:16.482,"","GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE"
"7",767150523,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150523","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Arcata","California","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",40.86667,-124.08167,NA,NA,NA,NA,NA,NA,"1925-06-11",11,6,1925,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9898","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.418,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"8",767150522,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150522","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Requa","California","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",41.54694,-124.06528,NA,NA,NA,NA,NA,NA,"1920-08-04",4,8,1920,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9897","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.421,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"9",767150520,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150520","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","AlseaAlsea River","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.3764,-123.606,NA,NA,NA,NA,NA,NA,"1925-06-12",12,6,1925,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9895","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.416,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"10",767150519,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150519","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Montesano","Washington","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",46.98139,-123.60139,NA,NA,NA,NA,NA,NA,"1931-07-23",23,7,1931,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9894","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.613,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"11",767150518,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150518","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Alsea","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.38167,-123.59528,NA,NA,NA,NA,NA,NA,"1925-06-12",12,6,1925,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9893","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.416,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"12",767150516,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150516","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Marys Peak","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.5044,-123.55,NA,NA,NA,NA,NA,NA,"1929-08-26",26,8,1929,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9891","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.416,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"13",767150496,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150496","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Roseburg","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",43.21667,-123.34056,NA,NA,NA,NA,NA,NA,"1930-07-11",11,7,1930,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9873","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.361,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"14",767150445,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150445","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Corvallis","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.56472,-123.26083,NA,NA,NA,NA,NA,NA,"1925-06-29",29,6,1925,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9824","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.346,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"15",767150432,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150432","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Lake Cushman","Washington","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",47.48035,-123.25338,NA,NA,NA,NA,NA,NA,"1919-06-24",24,6,1919,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9812","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.353,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"16",767150430,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150430","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Independence","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.85139,-123.18556,NA,NA,NA,NA,NA,NA,"1934-08-15",15,8,1934,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9811","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.358,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"17",767150424,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150424","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Pebble Creek","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",45.85333,-123.17083,NA,NA,NA,NA,NA,NA,"1917-08",NA,8,1917,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9809","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.348,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"18",767150422,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150422","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Forest Grove","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",45.52,-123.10944,NA,NA,NA,NA,NA,NA,"1917-05-08",8,5,1917,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9808","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.349,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"19",767150419,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150419","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Albany","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.63667,-123.10472,NA,NA,NA,NA,NA,NA,"1933-04-22",22,4,1933,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9806","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.35,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"20",767150417,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150417","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Ft. (Fort) Wrigley McKenzie River","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.12583,-123.10444,NA,NA,NA,NA,NA,NA,"1922-07-25",25,7,1922,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9805","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.346,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"21",767150416,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150416","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Gold Hill","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",42.432,-123.051,NA,NA,NA,NA,NA,NA,"1925-07-02",2,7,1925,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9804","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.35,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
