x,y,species cloglog values
1.0,1.0,0.019899476
2.0,2.0,5.954062E-4
3.0,3.0,6.129222E-4
4.0,4.0,0.0023775545
5.0,5.0,7.78152E-4
6.0,6.0,2.0864738E-4
7.0,7.0,0.0026969162
8.0,8.0,0.0046457076
9.0,9.0,0.0016717897
10.0,10.0,1.0817765E-5
11.0,11.0,0.0040823165
12.0,12.0,6.059283E-4
13.0,13.0,0.0017830076
14.0,14.0,0.0021675532
15.0,15.0,0.002498686
16.0,16.0,0.005487843
17.0,17.0,0.36315805
18.0,18.0,1.2737032E-4
19.0,19.0,3.536033E-4
20.0,20.0,3.147954E-4
21.0,21.0,2.0322224E-5
22.0,22.0,1.5612028E-5
23.0,23.0,3.135711E-4
24.0,24.0,0.0017891169
25.0,25.0,0.005899407
26.0,26.0,6.84036E-4
27.0,27.0,0.02039323
28.0,28.0,3.385279E-4
29.0,29.0,0.0014073853
30.0,30.0,0.0055020084
31.0,31.0,3.5930143E-4
32.0,32.0,0.33822665
33.0,33.0,0.01783678
34.0,34.0,0.004745039
35.0,35.0,4.505029E-4
36.0,36.0,6.261888E-4
37.0,37.0,0.0028577126
38.0,38.0,1.0382343E-5
39.0,39.0,3.5399088E-4
40.0,40.0,0.005090758
41.0,41.0,6.842593E-5
42.0,42.0,0.0027515285
43.0,43.0,6.9175835E-6
44.0,44.0,2.0092636E-4
45.0,45.0,0.0012773655
46.0,46.0,4.6929654E-5
47.0,47.0,0.001876094
48.0,48.0,0.0010235993
49.0,49.0,0.0010144701
50.0,50.0,0.010814917
51.0,51.0,7.577285E-5
52.0,52.0,0.0025570174
53.0,53.0,9.035169E-5
54.0,54.0,2.8370318E-5
55.0,55.0,0.012008818
56.0,56.0,0.16455804
57.0,57.0,0.019846268
58.0,58.0,0.5397291
59.0,59.0,8.9982146E-5
60.0,60.0,0.01875382
61.0,61.0,6.876597E-5
62.0,62.0,1.4523196E-4
63.0,63.0,2.6056965E-4
64.0,64.0,8.244522E-4
65.0,65.0,0.022593487
66.0,66.0,8.231549E-4
67.0,67.0,4.500429E-4
68.0,68.0,4.568266E-4
69.0,69.0,2.1369524E-4
70.0,70.0,0.14170855
