Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.4052E-8,0.000003405,0.000194366,1,0,0
5.40192E-8,0.0000137,0.000308319,0.99976429,0,0
7.03353E-8,0.000026452,0.000401426,0.99952858,0,0
7.83467E-8,0.000056616,0.000447139,0.99905716,0,0
9.41126E-8,0.000100181,0.000537094,0.998467885,0,0
1.30795E-7,0.000262079,0.000746361,0.996817914,0.000235516,0
1.49088E-7,0.000503344,0.000850701,0.994814378,0.000235516,0
1.72635E-7,0.001003776,0.000984996,0.991160872,0.000235516,0
2.46292E-7,0.002505191,0.001404961,0.982793164,0.000235516,0
3.49462E-7,0.005029572,0.001992904,0.972657631,0.000235516,0
5.17927E-7,0.010011305,0.002952198,0.959104302,0.000235516,0
1.08766E-6,0.025071372,0.006189648,0.934944019,0.000471032,0
2.14178E-6,0.050059353,0.012151809,0.916205068,0.000471032,0
3.67697E-6,0.100355687,0.020771089,0.895462581,0.000706547,0
5.76788E-6,0.200506617,0.032389544,0.870713023,0.001413095,0
6.95619E-6,0.300575169,0.038931042,0.852209782,0.002355158,0
8.05429E-6,0.400691433,0.044936631,0.836417207,0.002590674,0
8.94798E-6,0.500409118,0.049796582,0.822628167,0.002826189,0
9.67255E-6,0.60085638,0.053718683,0.809899823,0.003061705,0
1.04319E-5,0.700955923,0.057811661,0.798114319,0.003297221,0
1.07639E-5,0.750783472,0.059595865,0.792575133,0.004239284,0
1.11801E-5,0.800225962,0.061827334,0.787271656,0.0044748,0
1.17702E-5,0.900058468,0.064982418,0.777018268,0.004710316,0
1.2662E-5,1.000261232,0.069729855,0.767354154,0.005416863,0
1.35478E-5,1.10119049,0.074422101,0.758279316,0.005887894,0
1.44906E-5,1.200969129,0.079390311,0.749911609,0.005887894,0
1.56574E-5,1.300272218,0.085501807,0.742133176,0.006829958,0
1.67135E-5,1.400567389,0.090998458,0.734826164,0.007772021,0
1.79291E-5,1.501151695,0.09728443,0.727990572,0.008478568,0
2.0549E-5,1.750138025,0.110684692,0.712787272,0.010127179,0
2.33209E-5,2.001204152,0.124645445,0.699233942,0.011304757,0
2.57719E-5,2.252306027,0.136807618,0.687212728,0.012482336,0
